aalib 1.4rc5-15
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20221107-2
modemmanager 1.20.6-1
mpc 0.34-3
mpfr 4.2.0-3
mpg123 1.31.3-1
mpv 1:0.35.1-4
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mujs 1.3.3-1
nano 7.2-1
ncurses 6.4-1
ndctl 76.1-1
neofetch 7.1.0-2
neon 0.32.5-1
neovide 0.10.4-1
neovim 0.9.0-1
nerd-fonts-meta 20230210-1
net-tools 2.10-2
nettle 3.8.1-1
networkmanager 1.42.4-2
networkmanager-openvpn 1.10.2-1
node-gyp 9.3.1-1
nodejs 19.8.1-1
nodejs-nopt 7.1.0-1
nomacs 1:3.17.2206-12
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-4
nspr 4.35-1
nss 3.89-1
ntfs-3g 2022.10.3-1
ocaml 4.14.0-1
ocaml-compiler-libs 4.14.0-1
ocaml-zarith 1.12-5
ocl-icd 2.3.1-1
odt2txt 0.5-5
onetbb 2021.8.0-2
oniguruma 6.9.8-1
opam 2.1.4-1
openal 1.23.0-2
opencore-amr 0.1.6-1
opencv 4.7.0-7
openexr 3.1.7-1
openjpeg2 2.5.0-2
openmpi 4.1.5-1
openpmix 4.2.3-2
openssh 9.3p1-1
openssl 3.0.8-1
openssl-1.1 1.1.1.t-1
openvpn 2.6.2-1
opus 1.3.1-3
orc 0.4.33-1
os-prober 1.81-1
otf-aurulent-nerd 2.3.3-2
otf-cascadia-code-nerd 2.3.3-2
otf-codenewroman-nerd 2.3.3-2
otf-droid-nerd 2.3.3-2
otf-firamono-nerd 2.3.3-2
otf-hasklig-nerd 2.3.3-2
otf-hermit-nerd 2.3.3-2
otf-opendyslexic-nerd 2.3.3-2
otf-overpass-nerd 2.3.3-2
p11-kit 0.24.1-1
p7zip 1:17.05-1
pacman 6.0.2-6
pacman-contrib 1.9.0-1
pacman-mirrorlist 20230226-1
pam-selinux 1.5.2-1
pambase-selinux 20221020-1
pamixer 1.6-2
pango 1:1.50.14-1
pangomm 2.46.3-1
parted 3.5-1
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcmanfm 1.3.2-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.0-3
perl-error 0.17029-4
perl-file-which 1.27-2
